Ethereum;Date
1;"""2015-08-01T00:00:00.000Z"""
0;"""2015-09-01T00:00:00.000Z"""
0;"""2015-10-01T00:00:00.000Z"""
1;"""2015-11-01T00:00:00.000Z"""
0;"""2015-12-01T00:00:00.000Z"""
1;"""2016-01-01T00:00:00.000Z"""
2;"""2016-02-01T00:00:00.000Z"""
4;"""2016-03-01T00:00:00.000Z"""
2;"""2016-04-01T00:00:00.000Z"""
3;"""2016-05-01T00:00:00.000Z"""
5;"""2016-06-01T00:00:00.000Z"""
3;"""2016-07-01T00:00:00.000Z"""
3;"""2016-08-01T00:00:00.000Z"""
2;"""2016-09-01T00:00:00.000Z"""
2;"""2016-10-01T00:00:00.000Z"""
2;"""2016-11-01T00:00:00.000Z"""
2;"""2016-12-01T00:00:00.000Z"""
2;"""2017-01-01T00:00:00.000Z"""
3;"""2017-02-01T00:00:00.000Z"""
8;"""2017-03-01T00:00:00.000Z"""
6;"""2017-04-01T00:00:00.000Z"""
23;"""2017-05-01T00:00:00.000Z"""
49;"""2017-06-01T00:00:00.000Z"""
30;"""2017-07-01T00:00:00.000Z"""
27;"""2017-08-01T00:00:00.000Z"""
23;"""2017-09-01T00:00:00.000Z"""
21;"""2017-10-01T00:00:00.000Z"""
37;"""2017-11-01T00:00:00.000Z"""
68;"""2017-12-01T00:00:00.000Z"""
63;"""2018-01-01T00:00:00.000Z"""
30;"""2018-02-01T00:00:00.000Z"""
19;"""2018-03-01T00:00:00.000Z"""
15;"""2018-04-01T00:00:00.000Z"""
15;"""2018-05-01T00:00:00.000Z"""
11;"""2018-06-01T00:00:00.000Z"""
9;"""2018-07-01T00:00:00.000Z"""
11;"""2018-08-01T00:00:00.000Z"""
11;"""2018-09-01T00:00:00.000Z"""
7;"""2018-10-01T00:00:00.000Z"""
8;"""2018-11-01T00:00:00.000Z"""
9;"""2018-12-01T00:00:00.000Z"""
8;"""2019-01-01T00:00:00.000Z"""
7;"""2019-02-01T00:00:00.000Z"""
6;"""2019-03-01T00:00:00.000Z"""
7;"""2019-04-01T00:00:00.000Z"""
9;"""2019-05-01T00:00:00.000Z"""
9;"""2019-06-01T00:00:00.000Z"""
15;"""2019-07-01T00:00:00.000Z"""
6;"""2019-08-01T00:00:00.000Z"""
6;"""2019-09-01T00:00:00.000Z"""
5;"""2019-10-01T00:00:00.000Z"""
5;"""2019-11-01T00:00:00.000Z"""
5;"""2019-12-01T00:00:00.000Z"""
7;"""2020-01-01T00:00:00.000Z"""
12;"""2020-02-01T00:00:00.000Z"""
9;"""2020-03-01T00:00:00.000Z"""
10;"""2020-04-01T00:00:00.000Z"""
11;"""2020-05-01T00:00:00.000Z"""
11;"""2020-06-01T00:00:00.000Z"""
14;"""2020-07-01T00:00:00.000Z"""
21;"""2020-08-01T00:00:00.000Z"""
14;"""2020-09-01T00:00:00.000Z"""
10;"""2020-10-01T00:00:00.000Z"""
21;"""2020-11-01T00:00:00.000Z"""
26;"""2020-12-01T00:00:00.000Z"""
85;"""2021-01-01T00:00:00.000Z"""
100;"""2021-02-01T00:00:00.000Z"""
61;"""2021-03-01T00:00:00.000Z"""
