Nvidia;Date
81;"""2015-08-01T00:00:00.000Z"""
68;"""2015-09-01T00:00:00.000Z"""
73;"""2015-10-01T00:00:00.000Z"""
82;"""2015-11-01T00:00:00.000Z"""
79;"""2015-12-01T00:00:00.000Z"""
57;"""2016-01-01T00:00:00.000Z"""
56;"""2016-02-01T00:00:00.000Z"""
58;"""2016-03-01T00:00:00.000Z"""
54;"""2016-04-01T00:00:00.000Z"""
62;"""2016-05-01T00:00:00.000Z"""
54;"""2016-06-01T00:00:00.000Z"""
53;"""2016-07-01T00:00:00.000Z"""
52;"""2016-08-01T00:00:00.000Z"""
52;"""2016-09-01T00:00:00.000Z"""
59;"""2016-10-01T00:00:00.000Z"""
57;"""2016-11-01T00:00:00.000Z"""
59;"""2016-12-01T00:00:00.000Z"""
56;"""2017-01-01T00:00:00.000Z"""
52;"""2017-02-01T00:00:00.000Z"""
54;"""2017-03-01T00:00:00.000Z"""
48;"""2017-04-01T00:00:00.000Z"""
47;"""2017-05-01T00:00:00.000Z"""
49;"""2017-06-01T00:00:00.000Z"""
48;"""2017-07-01T00:00:00.000Z"""
50;"""2017-08-01T00:00:00.000Z"""
47;"""2017-09-01T00:00:00.000Z"""
49;"""2017-10-01T00:00:00.000Z"""
56;"""2017-11-01T00:00:00.000Z"""
58;"""2017-12-01T00:00:00.000Z"""
61;"""2018-01-01T00:00:00.000Z"""
54;"""2018-02-01T00:00:00.000Z"""
54;"""2018-03-01T00:00:00.000Z"""
45;"""2018-04-01T00:00:00.000Z"""
46;"""2018-05-01T00:00:00.000Z"""
45;"""2018-06-01T00:00:00.000Z"""
51;"""2018-07-01T00:00:00.000Z"""
64;"""2018-08-01T00:00:00.000Z"""
68;"""2018-09-01T00:00:00.000Z"""
70;"""2018-10-01T00:00:00.000Z"""
77;"""2018-11-01T00:00:00.000Z"""
75;"""2018-12-01T00:00:00.000Z"""
72;"""2019-01-01T00:00:00.000Z"""
69;"""2019-02-01T00:00:00.000Z"""
60;"""2019-03-01T00:00:00.000Z"""
52;"""2019-04-01T00:00:00.000Z"""
47;"""2019-05-01T00:00:00.000Z"""
52;"""2019-06-01T00:00:00.000Z"""
52;"""2019-07-01T00:00:00.000Z"""
53;"""2019-08-01T00:00:00.000Z"""
54;"""2019-09-01T00:00:00.000Z"""
55;"""2019-10-01T00:00:00.000Z"""
60;"""2019-11-01T00:00:00.000Z"""
62;"""2019-12-01T00:00:00.000Z"""
62;"""2020-01-01T00:00:00.000Z"""
68;"""2020-02-01T00:00:00.000Z"""
65;"""2020-03-01T00:00:00.000Z"""
69;"""2020-04-01T00:00:00.000Z"""
73;"""2020-05-01T00:00:00.000Z"""
69;"""2020-06-01T00:00:00.000Z"""
65;"""2020-07-01T00:00:00.000Z"""
68;"""2020-08-01T00:00:00.000Z"""
100;"""2020-09-01T00:00:00.000Z"""
67;"""2020-10-01T00:00:00.000Z"""
66;"""2020-11-01T00:00:00.000Z"""
73;"""2020-12-01T00:00:00.000Z"""
68;"""2021-01-01T00:00:00.000Z"""
64;"""2021-02-01T00:00:00.000Z"""
56;"""2021-03-01T00:00:00.000Z"""
