blockchain;Date
4;"""2015-08-01T00:00:00.000Z"""
5;"""2015-09-01T00:00:00.000Z"""
5;"""2015-10-01T00:00:00.000Z"""
7;"""2015-11-01T00:00:00.000Z"""
6;"""2015-12-01T00:00:00.000Z"""
7;"""2016-01-01T00:00:00.000Z"""
9;"""2016-02-01T00:00:00.000Z"""
9;"""2016-03-01T00:00:00.000Z"""
9;"""2016-04-01T00:00:00.000Z"""
12;"""2016-05-01T00:00:00.000Z"""
12;"""2016-06-01T00:00:00.000Z"""
10;"""2016-07-01T00:00:00.000Z"""
11;"""2016-08-01T00:00:00.000Z"""
13;"""2016-09-01T00:00:00.000Z"""
15;"""2016-10-01T00:00:00.000Z"""
16;"""2016-11-01T00:00:00.000Z"""
15;"""2016-12-01T00:00:00.000Z"""
17;"""2017-01-01T00:00:00.000Z"""
18;"""2017-02-01T00:00:00.000Z"""
21;"""2017-03-01T00:00:00.000Z"""
20;"""2017-04-01T00:00:00.000Z"""
29;"""2017-05-01T00:00:00.000Z"""
33;"""2017-06-01T00:00:00.000Z"""
29;"""2017-07-01T00:00:00.000Z"""
35;"""2017-08-01T00:00:00.000Z"""
39;"""2017-09-01T00:00:00.000Z"""
50;"""2017-10-01T00:00:00.000Z"""
66;"""2017-11-01T00:00:00.000Z"""
100;"""2017-12-01T00:00:00.000Z"""
89;"""2018-01-01T00:00:00.000Z"""
66;"""2018-02-01T00:00:00.000Z"""
56;"""2018-03-01T00:00:00.000Z"""
51;"""2018-04-01T00:00:00.000Z"""
53;"""2018-05-01T00:00:00.000Z"""
47;"""2018-06-01T00:00:00.000Z"""
43;"""2018-07-01T00:00:00.000Z"""
44;"""2018-08-01T00:00:00.000Z"""
45;"""2018-09-01T00:00:00.000Z"""
45;"""2018-10-01T00:00:00.000Z"""
42;"""2018-11-01T00:00:00.000Z"""
33;"""2018-12-01T00:00:00.000Z"""
33;"""2019-01-01T00:00:00.000Z"""
34;"""2019-02-01T00:00:00.000Z"""
32;"""2019-03-01T00:00:00.000Z"""
38;"""2019-04-01T00:00:00.000Z"""
40;"""2019-05-01T00:00:00.000Z"""
36;"""2019-06-01T00:00:00.000Z"""
32;"""2019-07-01T00:00:00.000Z"""
30;"""2019-08-01T00:00:00.000Z"""
31;"""2019-09-01T00:00:00.000Z"""
30;"""2019-10-01T00:00:00.000Z"""
31;"""2019-11-01T00:00:00.000Z"""
25;"""2019-12-01T00:00:00.000Z"""
28;"""2020-01-01T00:00:00.000Z"""
28;"""2020-02-01T00:00:00.000Z"""
24;"""2020-03-01T00:00:00.000Z"""
26;"""2020-04-01T00:00:00.000Z"""
28;"""2020-05-01T00:00:00.000Z"""
25;"""2020-06-01T00:00:00.000Z"""
29;"""2020-07-01T00:00:00.000Z"""
28;"""2020-08-01T00:00:00.000Z"""
25;"""2020-09-01T00:00:00.000Z"""
24;"""2020-10-01T00:00:00.000Z"""
29;"""2020-11-01T00:00:00.000Z"""
30;"""2020-12-01T00:00:00.000Z"""
45;"""2021-01-01T00:00:00.000Z"""
58;"""2021-02-01T00:00:00.000Z"""
50;"""2021-03-01T00:00:00.000Z"""
