mining;Date
36;"""2015-08-01T00:00:00.000Z"""
35;"""2015-09-01T00:00:00.000Z"""
35;"""2015-10-01T00:00:00.000Z"""
36;"""2015-11-01T00:00:00.000Z"""
33;"""2015-12-01T00:00:00.000Z"""
35;"""2016-01-01T00:00:00.000Z"""
38;"""2016-02-01T00:00:00.000Z"""
38;"""2016-03-01T00:00:00.000Z"""
38;"""2016-04-01T00:00:00.000Z"""
36;"""2016-05-01T00:00:00.000Z"""
38;"""2016-06-01T00:00:00.000Z"""
35;"""2016-07-01T00:00:00.000Z"""
37;"""2016-08-01T00:00:00.000Z"""
36;"""2016-09-01T00:00:00.000Z"""
36;"""2016-10-01T00:00:00.000Z"""
38;"""2016-11-01T00:00:00.000Z"""
34;"""2016-12-01T00:00:00.000Z"""
38;"""2017-01-01T00:00:00.000Z"""
40;"""2017-02-01T00:00:00.000Z"""
42;"""2017-03-01T00:00:00.000Z"""
42;"""2017-04-01T00:00:00.000Z"""
47;"""2017-05-01T00:00:00.000Z"""
62;"""2017-06-01T00:00:00.000Z"""
55;"""2017-07-01T00:00:00.000Z"""
57;"""2017-08-01T00:00:00.000Z"""
56;"""2017-09-01T00:00:00.000Z"""
56;"""2017-10-01T00:00:00.000Z"""
70;"""2017-11-01T00:00:00.000Z"""
100;"""2017-12-01T00:00:00.000Z"""
93;"""2018-01-01T00:00:00.000Z"""
69;"""2018-02-01T00:00:00.000Z"""
57;"""2018-03-01T00:00:00.000Z"""
51;"""2018-04-01T00:00:00.000Z"""
50;"""2018-05-01T00:00:00.000Z"""
45;"""2018-06-01T00:00:00.000Z"""
48;"""2018-07-01T00:00:00.000Z"""
46;"""2018-08-01T00:00:00.000Z"""
45;"""2018-09-01T00:00:00.000Z"""
45;"""2018-10-01T00:00:00.000Z"""
45;"""2018-11-01T00:00:00.000Z"""
40;"""2018-12-01T00:00:00.000Z"""
42;"""2019-01-01T00:00:00.000Z"""
44;"""2019-02-01T00:00:00.000Z"""
41;"""2019-03-01T00:00:00.000Z"""
41;"""2019-04-01T00:00:00.000Z"""
41;"""2019-05-01T00:00:00.000Z"""
41;"""2019-06-01T00:00:00.000Z"""
42;"""2019-07-01T00:00:00.000Z"""
43;"""2019-08-01T00:00:00.000Z"""
42;"""2019-09-01T00:00:00.000Z"""
40;"""2019-10-01T00:00:00.000Z"""
41;"""2019-11-01T00:00:00.000Z"""
37;"""2019-12-01T00:00:00.000Z"""
40;"""2020-01-01T00:00:00.000Z"""
43;"""2020-02-01T00:00:00.000Z"""
39;"""2020-03-01T00:00:00.000Z"""
41;"""2020-04-01T00:00:00.000Z"""
43;"""2020-05-01T00:00:00.000Z"""
43;"""2020-06-01T00:00:00.000Z"""
46;"""2020-07-01T00:00:00.000Z"""
47;"""2020-08-01T00:00:00.000Z"""
48;"""2020-09-01T00:00:00.000Z"""
45;"""2020-10-01T00:00:00.000Z"""
44;"""2020-11-01T00:00:00.000Z"""
46;"""2020-12-01T00:00:00.000Z"""
62;"""2021-01-01T00:00:00.000Z"""
78;"""2021-02-01T00:00:00.000Z"""
71;"""2021-03-01T00:00:00.000Z"""
